state,county,county_fips,city,year,net_migration,pop,index_nsa,net_migration_percentage
1,3,1003,Daphne,2005,3830,160354,181.5025,0.023884655200369184
1,3,1003,Daphne,2006,2433,169162,212.58249999999998,0.014382662772963194
1,3,1003,Daphne,2007,2119,171769,217.1225,0.012336335427230758
1,3,1003,Daphne,2008,2431,174439,208.865,0.013936103738269538
1,3,1003,Daphne,2009,2808,179878,192.82,0.015610580504564205
1,3,1003,Daphne,2010,2488,183195,172.89,0.013581156690957722
1,3,1003,Daphne,2011,2790,186717,161.0525,0.014942399460145568
1,3,1003,Daphne,2012,3731,190790,162.4625,0.01955553226060066
1,3,1003,Daphne,2013,3955,195540,165.6575,0.020226040707783572
1,3,1003,Daphne,2014,2164,200111,176.875,0.010813998230981805
1,3,1003,Daphne,2015,4200,203709,184.0525,0.020617645759392074
1,3,1003,Daphne,2016,7890,208563,195.6725,0.03783029588181988
1,3,1003,Daphne,2017,5053,212628,204.705,0.02376450890757567
1,3,1003,Daphne,2018,4425,218022,216.84,0.020296116905633377
1,3,1003,Daphne,2019,5813,223234,230.405,0.026039940152485733
1,15,1015,Anniston,2005,245,109762,151.89000000000001,0.002232102184726955
1,15,1015,Anniston,2006,28,112903,162.095,0.000248000496000992
1,15,1015,Anniston,2007,77,113103,169.5675,0.000680795381201206
1,15,1015,Anniston,2008,256,113419,171.54,0.0022571174141898624
1,15,1015,Anniston,2009,-22,114081,173.05,-0.00019284543438434094
1,15,1015,Anniston,2010,-666,118510,164.005,-0.00561977892160999
1,15,1015,Anniston,2011,-1087,117797,157.25,-0.009227739246330552
1,15,1015,Anniston,2012,-337,117296,157.4425,-0.00287307325057973
1,15,1015,Anniston,2013,-364,116736,155.8625,-0.0031181469298245616
1,15,1015,Anniston,2014,-527,115916,155.0475,-0.004546395665826979
1,15,1015,Anniston,2015,-348,115620,156.755,-0.0030098598858329007
1,15,1015,Anniston,2016,-345,114611,160.0525,-0.0030101822687176624
1,15,1015,Anniston,2017,-236,114728,163.1325,-0.002057039258071264
1,15,1015,Anniston,2018,-400,114277,169.125,-0.0035002668953507707
1,15,1015,Anniston,2019,55,113605,177.2075,0.0004841336208793627
1,55,1055,Gadsden,2005,338,101151,162.6175,0.0033415388874059575
1,55,1055,Gadsden,2006,283,103362,170.3625,0.002737950117064298
1,55,1055,Gadsden,2007,173,103217,178.0625,0.0016760804906168557
1,55,1055,Gadsden,2008,130,103303,181.99,0.001258433927378682
1,55,1055,Gadsden,2009,209,103645,181.5225,0.0020164986251145736
1,55,1055,Gadsden,2010,121,104462,175.94,0.0011583159426394288
1,55,1055,Gadsden,2011,13,104303,174.04250000000002,0.00012463687525766278
1,55,1055,Gadsden,2012,-46,104392,175.5225,-0.00044064679285769025
1,55,1055,Gadsden,2013,-51,103931,176.89749999999998,-0.0004907101827173799
1,55,1055,Gadsden,2014,-205,103531,173.98,-0.001980083260086351
1,55,1055,Gadsden,2015,48,103057,177.4675,0.00046576166587422493
1,55,1055,Gadsden,2016,361,102564,178.5525,0.0035197535197535198
1,55,1055,Gadsden,2017,474,102755,180.05,0.004612914213420271
1,55,1055,Gadsden,2018,-167,102501,187.05,-0.001629252397537585
1,55,1055,Gadsden,2019,389,102268,192.95999999999998,0.0038037313724723276
1,69,1069,Dothan,2005,940,93101,147.78,0.010096561798476922
1,69,1069,Dothan,2006,1045,95660,161.2025,0.010924106209491951
1,69,1069,Dothan,2007,609,97171,170.1725,0.006267301972810818
1,69,1069,Dothan,2008,678,98488,170.3175,0.006884087401510844
1,69,1069,Dothan,2009,643,100085,169.63,0.00642453914172953
1,69,1069,Dothan,2010,331,101888,163.32750000000001,0.003248665201005025
1,69,1069,Dothan,2011,-192,102369,157.6875,-0.0018755677988453537
1,69,1069,Dothan,2012,-448,103402,156.6025,-0.004332604785207249
1,69,1069,Dothan,2013,-60,103668,155.15,-0.0005787706910522051
1,69,1069,Dothan,2014,-84,104193,155.13,-0.0008061961936022574
1,69,1069,Dothan,2015,-314,104173,158.085,-0.003014216735622474
1,69,1069,Dothan,2016,-61,104056,160.8775,-0.0005862228031060198
1,69,1069,Dothan,2017,-130,104346,163.255,-0.0012458551357982098
1,69,1069,Dothan,2018,483,104722,166.79250000000002,0.004612211378697886
1,69,1069,Dothan,2019,176,105882,172.33249999999998,0.0016622277629814322
1,73,1073,Birmingham,2005,-2050,641690,160.1775,-0.0031946890242952205
1,73,1073,Birmingham,2006,-4128,656700,169.69,-0.006285975331201462
1,73,1073,Birmingham,2007,-1962,658779,174.29250000000002,-0.002978237011197989
1,73,1073,Birmingham,2008,-2174,659503,174.85750000000002,-0.0032964216993705865
1,73,1073,Birmingham,2009,-2903,665027,171.1825,-0.004365236298676595
1,73,1073,Birmingham,2010,-2254,658555,163.3125,-0.0034226450334444354
1,73,1073,Birmingham,2011,-3919,658931,156.75,-0.005947511954969489
1,73,1073,Birmingham,2012,-2422,660009,156.09,-0.003669646929057028
1,73,1073,Birmingham,2013,-2532,659479,156.305,-0.0038393944310584566
1,73,1073,Birmingham,2014,-2836,660793,160.255,-0.004291813018600378
1,73,1073,Birmingham,2015,-3235,660367,167.15,-0.004898791126752245
1,73,1073,Birmingham,2016,-4334,659521,173.4975,-0.0065714359360808825
1,73,1073,Birmingham,2017,-3433,659197,180.565,-0.0052078513706828155
1,73,1073,Birmingham,2018,-2570,659300,189.9925,-0.0038980737145457305
1,73,1073,Birmingham,2019,-5509,658573,199.91750000000002,-0.008365055961905513
1,77,1077,Florence,2005,442,85898,131.195,0.00514563784954248
1,77,1077,Florence,2006,381,87891,140.08249999999998,0.004334914837696693
1,77,1077,Florence,2007,351,88561,147.725,0.003963369880647238
1,77,1077,Florence,2008,228,89128,153.315,0.0025581186608024413
1,77,1077,Florence,2009,-25,89599,155.7375,-0.0002790209712161966
1,77,1077,Florence,2010,-38,92679,152.53,-0.00041001737178864684
1,77,1077,Florence,2011,39,92781,151.72,0.0004203446826397646
1,77,1077,Florence,2012,420,92542,152.985,0.004538479825376585
1,77,1077,Florence,2013,-43,92797,153.8525,-0.0004633770488270095
1,77,1077,Florence,2014,-118,93096,157.205,-0.0012675088081120563
1,77,1077,Florence,2015,-50,92596,159.04500000000002,-0.0005399801287312626
1,77,1077,Florence,2016,439,92318,163.51,0.004755302324573756
1,77,1077,Florence,2017,-101,92538,168.0575,-0.001091443515096501
1,77,1077,Florence,2018,235,92387,169.485,0.002543647915832314
