y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
01,96,AL,AL Total Migration US and Foreign,51971,107304,2109108
01,97,AL,AL Total Migration US,50940,105006,2059642
01,98,AL,AL Total Migration Foreign,1031,2298,49465
01,01,AL,AL Non-migrants,1584665,3603439,87222478
01,13,GA,GEORGIA,9920,19470,329213
01,12,FL,FLORIDA,7550,14398,296043
01,47,TN,TENNESSEE,4237,9014,180439
01,48,TX,TEXAS,4121,8950,177351
01,28,MS,MISSISSIPPI,2868,6433,106796
01,06,CA,CALIFORNIA,1902,3593,80336
01,37,NC,NORTH CAROLINA,1881,4010,79090
01,22,LA,LOUISIANA,1514,3210,64656
01,51,VA,VIRGINIA,1378,2990,74722
01,45,SC,SOUTH CAROLINA,1096,2538,61022
01,57,FR,Foreign,1031,2298,49465
01,17,IL,ILLINOIS,979,2126,38224
01,26,MI,MICHIGAN,976,1946,33224
01,39,OH,OHIO,955,1995,38206
01,36,NY,NEW YORK,924,1744,35229
01,21,KY,KENTUCKY,829,1891,36402
01,08,CO,COLORADO,725,1489,37232
01,53,WA,WASHINGTON,718,1617,34658
01,18,IN,INDIANA,707,1545,23747
01,29,MO,MISSOURI,629,1297,22810
01,42,PA,PENNSYLVANIA,572,1150,26202
01,04,AZ,ARIZONA,548,1121,24245
01,24,MD,MARYLAND,531,1039,25979
01,05,AR,ARKANSAS,494,1123,22667
01,40,OK,OKLAHOMA,470,1083,19193
01,20,KS,KANSAS,424,1029,17875
01,32,NV,NEVADA,331,563,18510
01,25,MA,MASSACHUSETTS,328,595,13109
01,55,WI,WISCONSIN,309,722,13449
01,34,NJ,NEW JERSEY,286,575,11648
01,27,MN,MINNESOTA,214,430,8834
01,41,OR,OREGON,213,431,8961
01,15,HI,HAWAII,212,485,10166
01,19,IA,IOWA,212,475,8642
01,02,AK,ALASKA,201,456,8516
01,35,NM,NEW MEXICO,193,395,8701
01,49,UT,UTAH,184,446,8976
01,31,NE,NEBRASKA,173,452,6919
01,54,WV,WEST VIRGINIA,166,354,6093
01,09,CT,CONNECTICUT,148,280,6520
01,56,WY,WYOMING,121,220,5274
01,16,ID,IDAHO,90,188,3706
01,11,DC,DISTRICT OF COLUMBIA,89,131,4499
01,46,SD,SOUTH DAKOTA,79,149,2488
01,33,NH,NEW HAMPSHIRE,78,146,3794
01,30,MT,MONTANA,77,141,2866
01,38,ND,NORTH DAKOTA,75,168,3239
01,23,ME,MAINE,70,131,3084
01,10,DE,DELAWARE,60,118,2567
01,44,RI,RHODE ISLAND,49,95,2289
01,50,VT,VERMONT,34,59,1229
02,96,AK,AK Total Migration US and Foreign,19446,38204,978632
02,97,AK,AK Total Migration US,18811,36955,950156
02,98,AK,AK Total Migration Foreign,635,1249,28477
02,02,AK,AK Non-migrants,258223,547464,18646593
02,53,WA,WASHINGTON,2045,3809,113398
02,48,TX,TEXAS,1642,3619,111067
02,06,CA,CALIFORNIA,1635,3084,73670
02,12,FL,FLORIDA,1270,2165,54539
02,41,OR,OREGON,906,1617,45162
02,04,AZ,ARIZONA,866,1670,51737
02,08,CO,COLORADO,746,1442,40445
02,57,FR,Foreign,635,1249,28477
02,13,GA,GEORGIA,504,1050,19723
02,16,ID,IDAHO,494,1057,25658
02,37,NC,NORTH CAROLINA,485,1097,21487
02,32,NV,NEVADA,485,889,27618
