statefips,state,state_name,agi_stub,total_n1_0,total_n2_0,total_y1_agi_0,total_y2_agi_0,total_n1_1,total_n2_1,total_y1_agi_1,total_y2_agi_1,total_n1_2,total_n2_2,total_y1_agi_2,total_y2_agi_2,total_n1_3,total_n2_3,total_y1_agi_3,total_y2_agi_3,total_n1_4,total_n2_4,total_y1_agi_4,total_y2_agi_4,total_n1_5,total_n2_5,total_y1_agi_5,total_y2_agi_5,total_n1_6,total_n2_6,total_y1_agi_6,total_y2_agi_6,nonmig_n1_0,nonmig_n2_0,nonmig_y1_agi_0,nonmig_y2_agi_0,nonmig_n1_1,nonmig_n2_1,nonmig_y1_agi_1,nonmig_y2_agi_1,nonmig_n1_2,nonmig_n2_2,nonmig_y1_agi_2,nonmig_y2_agi_2,nonmig_n1_3,nonmig_n2_3,nonmig_y1_agi_3,nonmig_y2_agi_3,nonmig_n1_4,nonmig_n2_4,nonmig_y1_agi_4,nonmig_y2_agi_4,nonmig_n1_5,nonmig_n2_5,nonmig_y1_agi_5,nonmig_y2_agi_5,nonmig_n1_6,nonmig_n2_6,nonmig_y1_agi_6,nonmig_y2_agi_6,outflow_n1_0,outflow_n2_0,outflow_y1_agi_0,outflow_y2_agi_0,outflow_n1_1,outflow_n2_1,outflow_y1_agi_1,outflow_y2_agi_1,outflow_n1_2,outflow_n2_2,outflow_y1_agi_2,outflow_y2_agi_2,outflow_n1_3,outflow_n2_3,outflow_y1_agi_3,outflow_y2_agi_3,outflow_n1_4,outflow_n2_4,outflow_y1_agi_4,outflow_y2_agi_4,outflow_n1_5,outflow_n2_5,outflow_y1_agi_5,outflow_y2_agi_5,outflow_n1_6,outflow_n2_6,outflow_y1_agi_6,outflow_y2_agi_6,inflow_n1_0,inflow_n2_0,inflow_y1_agi_0,inflow_y2_agi_0,inflow_n1_1,inflow_n2_1,inflow_y1_agi_1,inflow_y2_agi_1,inflow_n1_2,inflow_n2_2,inflow_y1_agi_2,inflow_y2_agi_2,inflow_n1_3,inflow_n2_3,inflow_y1_agi_3,inflow_y2_agi_3,inflow_n1_4,inflow_n2_4,inflow_y1_agi_4,inflow_y2_agi_4,inflow_n1_5,inflow_n2_5,inflow_y1_agi_5,inflow_y2_agi_5,inflow_n1_6,inflow_n2_6,inflow_y1_agi_6,inflow_y2_agi_6,samest_n1_0,samest_n2_0,samest_y1_agi_0,samest_y2_agi_0,samest_n1_1,samest_n2_1,samest_y1_agi_1,samest_y2_agi_1,samest_n1_2,samest_n2_2,samest_y1_agi_2,samest_y2_agi_2,samest_n1_3,samest_n2_3,samest_y1_agi_3,samest_y2_agi_3,samest_n1_4,samest_n2_4,samest_y1_agi_4,samest_y2_agi_4,samest_n1_5,samest_n2_5,samest_y1_agi_5,samest_y2_agi_5,samest_n1_6,samest_n2_6,samest_y1_agi_6,samest_y2_agi_6
01,AL,Alabama,0,1675779,3640972,110440775,116347798,147456,235020,3137229,3837993,309288,708550,12475278,13776408,304128,873674,18989794,20512350,294505,723603,24387208,25663894,291622,558137,26106347,26860994,328780,541988,25344916,25696157,1572813,3433643,105187067,110602344,127225,204246,2706253,3302921,277382,641962,11248959,12382957,285527,823895,17944648,19383492,281506,694878,23422040,24635111,281774,540887,25221878,25936096,319399,527775,24643286,24961765,43439,84579,2279170,2613485,8893,12651,186193,240900,14240,27708,560805,670261,7902,21167,478716,529674,4826,10758,396487,442781,3634,6393,363940,430938,3944,5902,293026,298928,46111,93331,2631478,2874491,7983,11764,179576,217714,13988,29230,583030,660639,8309,22903,525586,566207,5877,13185,490124,538231,5015,8713,482876,499652,4939,7536,370284,392046,56855,113998,2622229,2870962,12248,19010,251400,317357,17918,37358,643288,732811,10292,26876,519559,562650,7122,15540,475043,490551,4833,8537,401592,425246,4442,6677,331345,342345
01,AL,Alabama,1,112482,176931,1378027,673996,20126,28232,194689,128397,20775,35933,242127,132144,12989,25940,161953,82263,11806,19752,157059,72302,15365,22608,215000,85277,31421,44466,407196,173610,102606,161672,1250777,613915,16994,23923,162462,108854,17921,31064,205969,114304,11697,23489,144415,74187,10933,18380,143893,66868,14682,21693,203855,81561,30379,43123,390179,168138,4192,6216,57415,25145,1334,1796,15573,8304,1270,1993,16115,7825,541,974,7809,3248,348,549,5461,2124,270,355,4636,1463,429,549,7819,2180,4508,6861,61869,27013,1282,1742,13939,7800,1318,2201,17401,8249,563,1062,8166,3425,399,635,6475,2402,373,481,6653,2118,573,740,9233,3016,5368,8398,65380,33067,1850,2567,18286,11742,1536,2668,18756,9590,729,1389,9371,4650,474,737,6690,3031,310,434,4492,1597,469,603,7783,2455
01,AL,Alabama,2,400005,801201,7360385,6963532,68961,111742,1020789,1176949,97763,222781,1677198,1704190,70640,184853,1287920,1237224,48488,102516,941398,863435,45248,77565,974467,802750,68905,101744,1458611,1178982,371455,746713,6834198,6473440,60251,98495,887400,1028611,88518,202992,1510446,1544778,66185,173620,1203161,1160822,45951,97501,888542,819681,43607,75028,935547,774050,66943,99077,1409100,1145496,11846,21109,213115,203972,3739,5223,55457,65076,3883,7498,69382,66802,1831,4511,35508,31189,938,1823,19806,16230,659,993,14530,11283,796,1061,18430,13389,11664,21462,228111,199721,3288,4740,52771,56408,3691,7609,70178,63438,1797,4525,35495,30446,1112,2089,24830,18946,782,1143,19339,13439,994,1356,25495,17042,16886,33026,298075,290370,5422,8507,80617,91929,5554,12180,96572,95972,2658,6708,49263,45956,1425,2926,28024,24807,859,1394,19580,15260,968,1311,24016,16444
01,AL,Alabama,3,447632,889926,15664392,16176889,43925,67952,1167245,1506572,99513,208421,3216353,3569265,85836,219862,2976275,3117367,75423,157521,2747941,2765904,69789,119254,2686076,2563300,73146,116916,2870499,2654478,418665,835857,14688318,15132937,37659,58434,1003212,1290120,89175,188721,2879059,3194024,80759,207434,2794041,2931780,72244,151285,2627203,2649630,67632,115877,2597685,2483646,71196,114106,2787115,2583734,11777,21070,386752,424869,2850,4125,73092,98823,4475,8239,142545,163056,1831,4365,66043,67207,1058,2067,40686,38694,723,1102,30268,26450,840,1172,34115,30636,11994,22511,415804,432776,2502,3752,66255,85452,4344,8496,145025,158503,1975,4942,73422,73184,1228,2420,47480,44802,975,1506,41842,35773,970,1395,41776,35061,16973,31558,560269,611175,3764,5766,97777,130999,5994,11204,192268,216737,3102,7486,108811,112402,1951,3816,73256,71472,1182,1871,46548,43881,980,1415,41606,35682
01,AL,Alabama,4,251098,542068,14771112,15428833,10510,18898,463312,627456,43859,105354,2362912,2674879,46600,130692,2701375,2856090,49260,111523,2974482,3033843,49664,91783,3109029,3068841,51205,83818,3159999,3167721,236953,513124,13984749,14565031,8961,16275,400433,535058,39026,95034,2113457,2380321,43716,123241,2535738,2679262,47265,107437,2851191,2911355,48213,89407,3016948,2979337,49772,81730,3066980,3079697,6089,12275,331851,372483,707,1063,26474,42292,2431,4858,125076,148000,1249,3376,71663,76730,646,1298,40351,40092,486,842,31957,30172,570,838,36328,35195,6529,13529,368316,400986,646,1078,26189,38811,2273,4941,117870,139541,1329,3559,77464,81849,823,1710,52360,50815,692,1131,45232,42787,766,1110,49198,47181,7616,15415,418046,462815,903,1545,36689,53587,2560,5379,131585,155016,1555,3892,88171,94979,1172,2376,70930,71672,759,1245,46847,46716,667,978,43820,40842
01,AL,Alabama,5,163497,403120,13525313,14174496,2838,5899,173845,240733,23546,65949,1787764,2030684,31520,103590,2564261,2735951,33981,90266,2863035,2955898,35088,71719,3032381,3043697,36524,65697,3104024,3167531,155536,384115,12904444,13487174,2430,5131,151469,206174,21206,60111,1620633,1829543,29690,97934,2418766,2577771,32642,87078,2751161,2839685,34034,69803,2941724,2952064,35534,64058,3020689,3081935,3511,8149,268649,303763,192,311,9653,16183,1091,2497,78005,94042,886,2675,67881,77052,509,1224,41444,44029,405,746,35069,35144,428,696,36595,37312,3978,9433,312724,343766,180,304,9808,15210,1118,2755,80116,95986,946,2985,75979,82002,631,1492,52608,54974,572,998,49600,49790,531,899,44611,45800,3983,9572,308144,343555,228,464,12567,19348,1222,3083,87014,105154,884,2671,69515,76177,708,1696,59265,61238,482,918,41056,41842,459,740,38723,39795
01,AL,Alabama,6,231569,630291,29410444,31138928,1030,2174,90362,126978,21267,62393,2355028,2744438,45592,166122,5604390,6082592,57283,177933,7409329,7793142,56012,125586,7437694,7627421,50385,96083,6513641,6764355,221009,602637,28123448,29709902,864,1865,74289,103197,19211,56979,2142500,2478256,43070,157521,5305302,5742558,54938,171428,7110874,7470650,54034,121470,7170115,7353376,48892,93374,6320365,6561863,4615,11922,548834,623411,71,133,5941,10221,963,2286,95692,125206,1240,4152,144415,165299,955,2655,121805,130713,739,1554,98497,103972,647,1142,82481,87998,5702,14831,710686,778737,85,148,10612,14030,1093,2800,115868,143950,1377,4693,164925,187527,1245,3439,159630,171597,1089,2262,151325,150742,813,1489,108323,110889,4858,12823,576309,650288,81,161,5460,9750,963,2614,96658,122231,1145,3908,134161,152507,1100,3066,138824,150894,889,1854,116252,123302,680,1220,84952,91603
01,AL,Alabama,7,69496,197435,28331099,31791121,66,123,26985,30904,2565,7719,833893,920806,10951,42615,3693617,4400860,18264,64092,7293961,8179367,20456,49622,8651698,9669705,17194,33264,7830943,8589477,66589,189525,27401129,30619942,66,123,26985,30904,2325,7061,776893,841729,10410,40656,3543222,4217111,17533,61769,7049172,7877238,19572,47609,8356001,9312059,16683,32307,7648854,8340900,1409,3838,472551,659840,0,0,0,0,127,337,33988,65328,324,1114,85394,108946,372,1142,126931,170897,352,801,148981,222451,234,444,77255,92216,1736,4704,533965,691490,0,0,0,0,151,428,36568,50969,322,1137,90130,107772,439,1400,146738,194692,532,1192,168882,205001,292,547,91646,133055,1171,3206,396003,479688,0,0,0,0,89,230,20431,28108,219,822,60263,75977,292,923,98050,107436,352,821,126814,152645,219,410,90443,115521
02,AK,Alaska,0,277147,574801,21670926,23326154,32657,45254,836549,1030522,59534,124268,2969211,3380773,49357,141384,4035109,4411259,42431,102792,4397577,4698556,47809,88116,5097399,5356216,45359,72987,4335079,4448826,257333,537260,20628018,22169874,27843,38513,725938,890556,52860,111179,2681737,3048401,46033,132568,3821142,4176382,40469,98576,4216275,4510094,46142,85386,4948193,5196625,43986,71038,4234731,4347814,16783,33692,1012914,1081264,3984,5821,104197,118589,5369,11346,254310,280824,2726,7901,205497,225995,1615,3577,146493,152987,1675,2858,170140,171860,1414,2189,132274,131005,13681,26195,708593,787702,3594,5132,80825,102980,4679,9307,200167,234023,2255,6150,147833,161912,1206,2633,119350,120457,1016,1675,93981,101208,931,1298,66434,67120,6133,11346,334314,368577,1220,1609,29785,36985,1995,3782,87306,98347,1069,2666,66133,72963,756,1583,61951,68005,651,1055,55224,58383,442,651,33913,33891
02,AK,Alaska,1,16860,24661,216264,91305,3222,4136,34781,19288,3744,5990,45769,20713,1971,3659,27422,10843,1608,2648,22267,8679,2431,3210,34856,12695,3884,5018,51166,19084,15293,22405,192517,82341,2750,3544,28774,16377,3281,5250,39157,18049,1776,3314,24598,9760,1490,2454,19943,8025,2304,3048,31905,11971,3692,4795,48138,18156,1066,1466,18559,6393,331,398,4803,2158,282,440,4874,1649,110,180,1678,586,117,172,2139,835,109,137,2950,601,117,139,2112,561,945,1326,15573,5468,286,366,4089,1836,277,414,4056,1608,109,178,1414,599,67,115,1683,375,75,102,2197,418,131,151,2132,629,622,930,8173,3495,186,226,1918,1073,186,326,2555,1055,86,167,1408,483,51,79,640,279,52,60,754,305,61,72,895,298
