y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
01,96,AL,AL Total Migration-US and Foreign,52265,107231,3341679
01,97,AL,AL Total Migration-US,51586,105521,3297568
01,98,AL,AL Total Migration-Foreign,679,1710,44112
01,97,AL,AL Total Migration-Same State,63266,129762,3419262
01,01,AL,AL Non-migrants,1590633,3498183,111701780
01,13,GA,Georgia,8322,17282,488504
01,12,FL,Florida,7585,14806,415647
01,47,TN,Tennessee,4338,8690,258108
01,48,TX,Texas,3544,7514,272788
01,28,MS,Mississippi,3082,6229,184781
01,06,CA,California,2282,4593,182022
01,37,NC,North Carolina,1670,3503,104636
01,51,VA,Virginia,1559,3453,142140
01,22,LA,Louisiana,1346,2700,84901
01,17,IL,Illinois,1331,2694,99006
01,36,NY,New York,1157,2129,71764
01,45,SC,South Carolina,1150,2339,73338
01,39,OH,Ohio,1093,2241,64945
01,08,CO,Colorado,1019,2126,65774
01,26,MI,Michigan,1001,2052,55659
01,21,KY,Kentucky,912,1964,55160
01,18,IN,Indiana,790,1658,47280
01,29,MO,Missouri,789,1598,48153
01,53,WA,Washington,745,1641,54515
01,42,PA,Pennsylvania,688,1400,46650
01,57,FR,Foreign,679,1710,44112
01,04,AZ,Arizona,639,1288,39907
01,24,MD,Maryland,611,1245,52149
01,05,AR,Arkansas,490,977,34604
01,40,OK,Oklahoma,488,1053,33637
01,55,WI,Wisconsin,386,795,22659
01,20,KS,Kansas,384,907,23870
01,34,NJ,New Jersey,351,642,23179
01,32,NV,Nevada,345,752,19754
01,25,MA,Massachusetts,296,519,19952
01,41,OR,Oregon,262,539,13799
01,27,MN,Minnesota,255,483,17465
01,15,HI,Hawaii,249,577,17444
01,35,NM,New Mexico,240,525,18029
01,19,IA,Iowa,235,508,15230
01,02,AK,Alaska,228,602,15335
01,49,UT,Utah,217,512,14524
01,54,WV,West Virginia,196,401,13195
01,09,CT,Connecticut,179,327,14743
01,31,NE,Nebraska,168,379,11759
01,16,ID,Idaho,118,242,6724
01,46,SD,South Dakota,117,243,5518
01,38,ND,North Dakota,105,219,5974
01,11,DC,District Of Columbia,92,141,9672
01,30,MT,Montana,92,180,5667
01,23,ME,Maine,89,160,4292
01,33,NH,New Hampshire,88,190,6743
01,56,WY,Wyoming,85,155,4774
01,10,DE,Delaware,79,140,4327
01,44,RI,Rhode Island,60,134,4493
01,50,VT,Vermont,39,74,2379
02,96,AK,AK Total Migration-US and Foreign,14339,28523,856856
02,97,AK,AK Total Migration-US,13877,27345,831324
02,98,AK,AK Total Migration-Foreign,462,1178,25531
02,97,AK,AK Total Migration-Same State,6549,13007,409093
02,02,AK,AK Non-migrants,258818,562944,22469636
02,53,WA,Washington,1369,2566,85585
02,06,CA,California,1339,2352,76609
02,48,TX,Texas,1135,2458,92741
02,12,FL,Florida,760,1498,41284
02,04,AZ,Arizona,661,1245,42955
02,41,OR,Oregon,646,1119,36665
02,08,CO,Colorado,572,1115,42307
02,57,FR,Foreign,462,1178,25531
02,37,NC,North Carolina,446,1020,21520
02,13,GA,Georgia,428,940,22340
02,51,VA,Virginia,409,851,26214
02,36,NY,New York,337,555,16773
02,26,MI,Michigan,285,515,16124
02,15,HI,Hawaii,283,568,15700
02,16,ID,Idaho,278,574,13517
02,32,NV,Nevada,276,576,15891
02,49,UT,Utah,275,685,17917
02,30,MT,Montana,250,416,13632
02,47,TN,Tennessee,235,504,13494
02,27,MN,Minnesota,233,415,12233
02,42,PA,Pennsylvania,230,377,12215
02,39,OH,Ohio,223,394,12129
02,29,MO,Missouri,221,461,11649
02,01,AL,Alabama,218,489,13608
02,17,IL,Illinois,214,371,11983
02,40,OK,Oklahoma,211,455,12109
